codigo_ibge,ano_pib,pib_per_capita,populacao,uf,variacao_12m_pct,tercil_renda,tercil_populacao,perfil_formato
521440,2021,29539.306666666667,8349.0,Goiás,-0.15625883777098393,média,média,Misto / avaliar caso a caso
520430,2021,55243.6308623298,14034.0,Goiás,-0.15625883777098393,alta,média,Varejo tradicional
510300,2021,53926.46862927934,19458.0,Mato Grosso,-1.198470469704671,alta,alta,Varejo tradicional
521935,2021,32240.512954723894,3543.0,Goiás,-0.15625883777098393,média,baixa,Misto / avaliar caso a caso
510285,2021,24490.77658847643,7392.0,Mato Grosso,-1.198470469704671,baixa,média,Atacarejo
510267,2021,113388.64033792837,49053.0,Mato Grosso,-1.198470469704671,alta,alta,Varejo tradicional
510279,2021,29655.339805825242,10260.0,Mato Grosso,-1.198470469704671,média,média,Misto / avaliar caso a caso
521580,2021,23410.57934508816,2266.0,Goiás,-0.15625883777098393,baixa,baixa,Risco (sem escala nem renda)
510830,2021,145934.008683068,3904.0,Mato Grosso,-1.198470469704671,alta,baixa,"Varejo de nicho (renda alta, população pequena)"
520850,2021,35789.38053097345,4962.0,Goiás,-0.15625883777098393,média,baixa,Misto / avaliar caso a caso
520840,2021,26247.65980208612,14758.0,Goiás,-0.15625883777098393,baixa,média,Atacarejo
500440,2021,53678.6941580756,8764.0,Mato Grosso do Sul,2.4056746559722564,alta,média,Varejo tradicional
500430,2021,48435.50666748602,13960.0,Mato Grosso do Sul,2.4056746559722564,média,média,Misto / avaliar caso a caso
500375,2021,42154.013015184384,11622.0,Mato Grosso do Sul,2.4056746559722564,média,média,Misto / avaliar caso a caso
500370,2021,53950.38817491995,264017.0,Mato Grosso do Sul,2.4056746559722564,alta,alta,Varejo tradicional
500400,2021,28196.194886249246,10817.0,Mato Grosso do Sul,2.4056746559722564,baixa,média,Atacarejo
510270,2021,132634.85815121487,28324.0,Mato Grosso,-1.198470469704671,alta,alta,Varejo tradicional
510617,2021,35026.66334413157,4575.0,Mato Grosso,-1.198470469704671,média,baixa,Misto / avaliar caso a caso
521940,2021,22499.670691547748,5765.0,Goiás,-0.15625883777098393,baixa,baixa,Risco (sem escala nem renda)
521310,2021,47338.81716251421,74999.0,Goiás,-0.15625883777098393,média,alta,Misto / avaliar caso a caso
520425,2021,8691.384269100912,7762.0,Goiás,-0.15625883777098393,baixa,média,Atacarejo
520420,2021,29101.79640718563,1417.0,Goiás,-0.15625883777098393,média,baixa,Misto / avaliar caso a caso
520410,2021,21935.684808845286,11854.0,Goiás,-0.15625883777098393,baixa,média,Atacarejo
521930,2021,41606.64236948822,39601.0,Goiás,-0.15625883777098393,média,alta,Misto / avaliar caso a caso
522145,2021,20058.049756934517,3080.0,Goiás,-0.15625883777098393,baixa,baixa,Risco (sem escala nem renda)
500390,2021,46357.79517286367,3751.0,Mato Grosso do Sul,2.4056746559722564,média,baixa,Misto / avaliar caso a caso
500380,2021,36502.871762740186,21504.0,Mato Grosso do Sul,2.4056746559722564,média,alta,Misto / avaliar caso a caso
510724,2021,224409.78260869565,5795.0,Mato Grosso,-1.198470469704671,alta,média,Varejo tradicional
510720,2021,20825.33514668739,4440.0,Mato Grosso,-1.198470469704671,baixa,baixa,Risco (sem escala nem renda)
521570,2021,59196.32291492562,34375.0,Goiás,-0.15625883777098393,alta,alta,Varejo tradicional
510730,2021,68640.15736967823,14455.0,Mato Grosso,-1.198470469704671,alta,média,Varejo tradicional
510729,2021,14369.088249634326,2716.0,Mato Grosso,-1.198470469704671,baixa,baixa,Risco (sem escala nem renda)
510310,2021,52072.77816655004,6495.0,Mato Grosso,-1.198470469704671,alta,média,Varejo tradicional
520440,2021,42567.08454206382,16628.0,Goiás,-0.15625883777098393,média,alta,Misto / avaliar caso a caso
510305,2021,86589.23650510618,9301.0,Mato Grosso,-1.198470469704671,alta,média,Varejo tradicional
521925,2021,46586.57117278424,5047.0,Goiás,-0.15625883777098393,média,baixa,Misto / avaliar caso a caso
510325,2021,20648.66113772892,26026.0,Mato Grosso,-1.198470469704671,baixa,alta,Atacarejo
510320,2021,37491.83281642298,32054.0,Mato Grosso,-1.198470469704671,média,alta,Misto / avaliar caso a caso
521340,2021,36203.26308633583,1687.0,Goiás,-0.15625883777098393,média,baixa,Misto / avaliar caso a caso
521410,2021,23054.414510536142,3540.0,Goiás,-0.15625883777098393,baixa,baixa,Risco (sem escala nem renda)
520120,2021,18532.877882152006,913.0,Goiás,-0.15625883777098393,baixa,baixa,Risco (sem escala nem renda)
510735,2021,165541.26815444563,6234.0,Mato Grosso,-1.198470469704671,alta,média,Varejo tradicional
520880,2021,23830.00561822032,81495.0,Goiás,-0.15625883777098393,baixa,alta,Atacarejo
521160,2021,60843.13725490196,2731.0,Goiás,-0.15625883777098393,alta,baixa,"Varejo de nicho (renda alta, população pequena)"
520870,2021,38486.4350428702,1503256.0,Goiás,-0.15625883777098393,média,alta,Misto / avaliar caso a caso
521170,2021,71128.6452257957,6365.0,Goiás,-0.15625883777098393,alta,média,Varejo tradicional
522140,2021,20202.672605790645,153560.0,Goiás,-0.15625883777098393,baixa,alta,Atacarejo
520910,2021,63242.19547031218,36984.0,Goiás,-0.15625883777098393,alta,alta,Varejo tradicional
520890,2021,34525.7662055872,24172.0,Goiás,-0.15625883777098393,média,alta,Misto / avaliar caso a caso
520110,2021,44863.32295990679,420300.0,Goiás,-0.15625883777098393,média,alta,Misto / avaliar caso a caso
521800,2021,31183.3166179741,45512.0,Goiás,-0.15625883777098393,média,alta,Misto / avaliar caso a caso
510600,2021,55588.084670536016,5890.0,Mato Grosso,-1.198470469704671,alta,média,Varejo tradicional
